name,classification,equipment,muscleGroup,difficulty,forceType,isFavorite,notes,id,createdAt,updatedAt
Barbell Bench Press,strength,Barbell,Chest,intermediate,push,True,Primary chest exercise that helps improve strength and mobility. Focus on controlled movement and full range of motion.,b38ef481-a871-4862-9798-b2f9de1e0f31,2025-07-03T09:00:50.413000,2025-07-03T09:00:50.413000
Barbell Incline Bench Press,strength,Barbell,Chest,intermediate,push,False,Targets upper chest. Adjust bench to 30-45 degree incline for optimal muscle activation.,e67b79c3-e2ed-454f-b7c7-6162c637fa92,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Decline Bench Press,strength,Barbell,Chest,intermediate,push,False,Targets lower chest. Adjust bench to 15-30 degree decline for optimal muscle activation.,f7f782d5-b619-43fa-a429-028e6e4735ba,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Close-Grip Bench Press,strength,Barbell,Chest,intermediate,push,False,"Barbell Bench Press (Close-Grip): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using barbell.",7e84155c-b9e8-4fe3-9c9d-58f5522c0919,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Bent-Over Row,strength,Barbell,Back,intermediate,pull,True,Great for building back thickness. Focus on squeezing shoulder blades.,2bbfe91b-8bcd-4e90-85be-e8b340a3abe8,2025-07-03T09:00:50.413000,2025-07-03T12:25:50.472000
Barbell Hip Thrust,strength,Barbell,Glutes,intermediate,squeeze,False,"Barbell Hip Thrust: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using barbell.",eaa9fe49-7010-4147-87c3-3f62f0a6fbb1,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Overhead Press,strength,Barbell,Shoulders,intermediate,push,False,"Barbell Overhead Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using barbell.",41718860-abc7-4ff7-bab3-573ba294788e,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Preacher Curl,strength,Barbell,Biceps,intermediate,pull,False,"Preacher Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using barbell.",d2b9afa6-2c3a-4bc8-9e48-79a6c95b604c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Reverse Curl,strength,Barbell,Biceps,intermediate,pull,False,"Reverse Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using barbell.",1412995e-ab69-4b42-bea5-36c1162b92f3,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Romanian Deadlift,strength,Barbell,Back,intermediate,pull,False,"Romanian Deadlift (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",1521c7ae-18db-4c7b-bc34-a9a96486e7c5,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Shrugs,strength,Barbell,Shoulders,intermediate,pull,False,"Shrugs (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using barbell.",50bccf48-88a6-47f2-a618-35240ad6b8d8,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Skull Crushers,strength,Barbell,Arms,intermediate,push,False,"Skull Crushers: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using barbell.",17101072-bf5b-4b4d-a0aa-60ffafbdebe9,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Squat,strength,Barbell,Legs,intermediate,push,True,"Fundamental lower body exercise that helps improve strength and mobility. Targets quads, glutes, and core.",2b711bc8-8b21-4337-ada1-4cb82b9d70b6,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Barbell Sumo Deadlift,strength,Barbell,Back,intermediate,pull,False,"Sumo Deadlift (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",8e4e6ced-515f-41de-a6fc-e28911e329f7,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell T Bar Row,strength,Barbell,Back,intermediate,pull,False,"T Bar Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",0fcbb3d0-9cce-4c50-bc4c-a686f3091d82,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Trap Bar Deadlifts,strength,Barbell,Back,intermediate,pull,False,"Trap Bar Deadlifts: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",6470f9f5-fe92-4fcb-8224-daddc76a39b6,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Barbell Upright Row,strength,Barbell,Back,intermediate,pull,False,"Upright Row (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",a8a8841e-7f73-4c5c-887d-5553066502b0,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Bulgarian Split Squat,strength,Bodyweight,Legs,intermediate,push,False,"Bulgarian Split Squat: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",b5a7a733-6a07-4274-8bb2-5b192c204079,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
Burpees,cardio,Bodyweight,Full Body,intermediate,push,False,High-intensity full body exercise that helps improve strength and mobility. Great for conditioning.,a2deefcc-1c87-4026-8b1f-dbe33ed5443a,2025-07-03T09:00:50.414000,2025-07-03T09:00:50.414000
Closed Grip Pull Ups,strength,Bodyweight,Back,intermediate,pull,False,"Closed Grip Pull Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using bodyweight. and requires no equipment.",7311067f-b03e-49bc-bf6e-58f818e2931c,2025-07-06T19:10:12.243277,2025-07-06T19:10:12.243277
