classification,createdAt,difficulty,equipment,forceType,id,isFavorite,muscleGroup,name,notes,updatedAt
strength,2025-07-03T09:00:50.413000,intermediate,Barbell,push,b38ef481-a871-4862-9798-b2f9de1e0f31,True,chest,Barbell Bench Press,Primary chest exercise that helps improve strength and mobility. Focus on controlled movement and full range of motion.,2025-07-03T09:00:50.413000
strength,2025-07-03T09:00:50.413000,intermediate,Barbell,pull,2bbfe91b-8bcd-4e90-85be-e8b340a3abe8,True,back,Barbell Bent-Over Row,Great for building back thickness. Focus on squeezing shoulder blades.,2025-07-03T12:25:50.472000
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,squeeze,eaa9fe49-7010-4147-87c3-3f62f0a6fbb1,False,glutes,Barbell Hip Thrust,"Barbell Hip Thrust: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the glutes using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,push,41718860-abc7-4ff7-bab3-573ba294788e,False,shoulders,Barbell Overhead Press,"Barbell Overhead Press: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,d2b9afa6-2c3a-4bc8-9e48-79a6c95b604c,False,biceps,Barbell Preacher Curl,"Preacher Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,1412995e-ab69-4b42-bea5-36c1162b92f3,False,biceps,Barbell Reverse Curl,"Reverse Curl: This is a intermediate level, isolation strength exercise that helps improve strength and mobility targeting the biceps using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,1521c7ae-18db-4c7b-bc34-a9a96486e7c5,False,back,Barbell Romanian Deadlift,"Romanian Deadlift (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,50bccf48-88a6-47f2-a618-35240ad6b8d8,False,shoulders,Barbell Shrugs,"Shrugs (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the shoulders using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,push,17101072-bf5b-4b4d-a0aa-60ffafbdebe9,False,arms,Barbell Skull Crushers,"Skull Crushers: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-03T09:00:50.414000,intermediate,Barbell,push,2b711bc8-8b21-4337-ada1-4cb82b9d70b6,True,legs,Barbell Squat,"Fundamental lower body exercise that helps improve strength and mobility. Targets quads, glutes, and core.",2025-07-03T09:00:50.414000
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,8e4e6ced-515f-41de-a6fc-e28911e329f7,False,back,Barbell Sumo Deadlift,"Sumo Deadlift (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,0fcbb3d0-9cce-4c50-bc4c-a686f3091d82,False,back,Barbell T Bar Row,"T Bar Row: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,6470f9f5-fe92-4fcb-8224-daddc76a39b6,False,back,Barbell Trap Bar Deadlifts,"Trap Bar Deadlifts: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Barbell,pull,a8a8841e-7f73-4c5c-887d-5553066502b0,False,back,Barbell Upright Row,"Upright Row (Barbell): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using barbell.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,b5a7a733-6a07-4274-8bb2-5b192c204079,False,legs,Bulgarian Split Squat,"Bulgarian Split Squat: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
cardio,2025-07-03T09:00:50.414000,intermediate,Bodyweight,push,a2deefcc-1c87-4026-8b1f-dbe33ed5443a,False,full body,Burpees,High-intensity full body exercise that helps improve strength and mobility. Great for conditioning.,2025-07-03T09:00:50.414000
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,pull,5669e7ee-a5b6-428b-bae5-a9dc3567355d,False,back,Chin Ups,"Chin Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,pull,7311067f-b03e-49bc-bf6e-58f818e2931c,False,back,Closed Grip Pull Ups,"Closed Grip Pull Ups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the back using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,0b928897-9c1d-40df-ad12-c1412a7fd8e5,False,core,Crunches,"Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,faeae95c-8106-4ad7-9d99-3a54cbfe0723,False,legs,Curtsy Lunge,"Curtsy Lunge: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the legs using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,squeeze,2f072402-c089-4385-8d1a-b8fdcb04ea51,False,core,Decline Crunches,"Decline Crunches: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the core using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,d9330aa1-2fc4-469a-bc6e-1e0b77f65bf9,False,arms,Diamond Pushups,"Diamond Pushups: This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the triceps using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
strength,2025-07-06T19:10:12.243277,intermediate,Bodyweight,push,5b90c2d2-577f-4715-929b-02f008d983dd,False,chest,Dips,"Dips (Free hang Body Weight): This is a intermediate level, compound strength exercise that helps improve strength and mobility targeting the chest using bodyweight. and requires no equipment.",2025-07-06T19:10:12.243277
